===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 131072
L1_ASSOC:		 2
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	0:		4005 D  4003 D  
Set 	1:		4005 D  4003 D  
Set 	2:		4003 D  4005 D  
Set 	3:		4005 D  4003 D  
Set 	4:		4005 D  4003 D  
Set 	5:		4005 D  4003 D  
Set 	6:		4005 D  4003 D  
Set 	7:		4005 D  4003 D  
Set 	8:		4005 D  4003 D  
Set 	9:		4005 D  4003 D  
Set 	10:		4005 D  4003 D  
Set 	11:		4005 D  4003 D  
Set 	12:		4005 D  4003 D  
Set 	13:		4005 D  4003 D  
Set 	14:		4005 D  4003 D  
Set 	15:		4005 D  4003 D  
Set 	16:		4005 D  4003 D  
Set 	17:		4005 D  4003 D  
Set 	18:		4005 D  4003 D  
Set 	19:		4005 D  4003 D  
Set 	20:		4005 D  4003 D  
Set 	21:		4005 D  4003 D  
Set 	22:		4005 D  4003 D  
Set 	23:		4005 D  4003 D  
Set 	24:		4003 D  4005 D  
Set 	25:		4003 D  4005 D  
Set 	26:		4003 D  4005 D  
Set 	27:		4005 D  4003 D  
Set 	28:		4003 D  4005 D  
Set 	29:		4003 D  4005 D  
Set 	30:		4005 D  4003 D  
Set 	31:		4003 D  4005 D  
Set 	32:		4003 D  4005 D  
Set 	33:		4003 D  4005 D  
Set 	34:		4003 D  4005 D  
Set 	35:		4003 D  4005 D  
Set 	36:		4003 D  4005 D  
Set 	37:		4005 D  4003 D  
Set 	38:		4005 D  4003 D  
Set 	39:		4005 D  4003 D  
Set 	40:		4003 D  4005 D  
Set 	41:		4003 D  4005 D  
Set 	42:		4005 D  4003 D  
Set 	43:		4005 D  4003 D  
Set 	44:		4005 D  4003 D  
Set 	45:		4005 D  4003 D  
Set 	46:		4005 D  4003 D  
Set 	47:		4005 D  4003 D  
Set 	48:		4005 D  4003 D  
Set 	49:		4005 D  4003 D  
Set 	50:		4005 D  4003 D  
Set 	51:		4005 D  4003 D  
Set 	52:		4005 D  4003 D  
Set 	53:		4005 D  4003 D  
Set 	54:		4005 D  4003 D  
Set 	55:		4005 D  4003 D  
Set 	56:		4005 D  4003 D  
Set 	57:		4005 D  4003 D  
Set 	58:		4005 D  4003 D  
Set 	59:		4005 D  4003 D  
Set 	60:		4005 D  4003 D  
Set 	61:		4005 D  4003 D  
Set 	62:		4005 D  4003 D  
Set 	63:		4005 D  4003 D  
Set 	64:		4005 D  4003 D  
Set 	65:		4005 D  4003 D  
Set 	66:		4003 D  4005 D  
Set 	67:		4003 D  4005 D  
Set 	68:		4005 D  4003 D  
Set 	69:		4005 D  4003 D  
Set 	70:		4005 D  4003 D  
Set 	71:		4005 D  4003 D  
Set 	72:		4005 D  4003 D  
Set 	73:		4005 D  4003 D  
Set 	74:		4005 D  4003 D  
Set 	75:		4005 D  4003 D  
Set 	76:		4005 D  4003 D  
Set 	77:		4005 D  4003 D  
Set 	78:		4005 D  4003 D  
Set 	79:		4003 D  4005 D  
Set 	80:		4003 D  4005 D  
Set 	81:		4003 D  4005 D  
Set 	82:		4003 D  4005 D  
Set 	83:		4003 D  4005 D  
Set 	84:		4005 D  4003 D  
Set 	85:		4005 D  4003 D  
Set 	86:		4005 D  4003 D  
Set 	87:		4005 D  4003 D  
Set 	88:		4005 D  4003 D  
Set 	89:		4005 D  4003 D  
Set 	90:		4005 D  4003 D  
Set 	91:		4005 D  4003 D  
Set 	92:		4005 D  4003 D  
Set 	93:		4005 D  4003 D  
Set 	94:		4005 D  4003 D  
Set 	95:		4005 D  4003 D  
Set 	96:		4005 D  4003 D  
Set 	97:		4005 D  4003 D  
Set 	98:		4005 D  4003 D  
Set 	99:		4005 D  4003 D  
Set 	100:		4005 D  4003 D  
Set 	101:		4005 D  4003 D  
Set 	102:		4005 D  4003 D  
Set 	103:		4003 D  0    
Set 	104:		4005 D  4003 D  
Set 	105:		4005 D  4003 D  
Set 	106:		4005 D  4003 D  
Set 	107:		4005 D  4003 D  
Set 	108:		4005 D  4003 D  
Set 	109:		4005 D  4003 D  
Set 	110:		4005 D  4003 D  
Set 	111:		4005 D  4003 D  
Set 	112:		4005 D  4003 D  
Set 	113:		4005 D  4003 D  
Set 	114:		4005 D  4003 D  
Set 	115:		4005 D  4003 D  
Set 	116:		4005 D  4003 D  
Set 	117:		4005 D  4003 D  
Set 	118:		4005 D  4003 D  
Set 	119:		4005 D  4003 D  
Set 	120:		4005 D  4003 D  
Set 	121:		4005 D  4003 D  
Set 	122:		4005 D  4003 D  
Set 	123:		4005 D  4003 D  
Set 	124:		4005 D  4003 D  
Set 	125:		4005 D  4003 D  
Set 	126:		4005 D  4003 D  
Set 	127:		4005 D  4003 D  
Set 	128:		4005 D  4003 D  
Set 	129:		4005 D  4003 D  
Set 	130:		4005 D  4003 D  
Set 	131:		4005 D  4003 D  
Set 	132:		4005 D  4003 D  
Set 	133:		4005 D  4003 D  
Set 	134:		4005 D  4003 D  
Set 	135:		4005 D  4003 D  
Set 	136:		4005 D  4003 D  
Set 	137:		4005 D  4003 D  
Set 	138:		4005 D  4003 D  
Set 	139:		4005 D  4003 D  
Set 	140:		4005 D  4003 D  
Set 	141:		4005 D  4003 D  
Set 	142:		4005 D  4003 D  
Set 	143:		4005 D  4003 D  
Set 	144:		4005 D  4003 D  
Set 	145:		4005 D  4003 D  
Set 	146:		4005 D  4003 D  
Set 	147:		4005 D  4003 D  
Set 	148:		4005 D  4003 D  
Set 	149:		4000    4003 D  
Set 	150:		4005 D  4000    
Set 	151:		4000    4005 D  
Set 	152:		4000    4005 D  
Set 	153:		4000    4005 D  
Set 	154:		4000    4005 D  
Set 	155:		4000    4005 D  
Set 	156:		4003 D  4005 D  
Set 	157:		4005 D  0    
Set 	158:		4005 D  0    
Set 	159:		4005 D  0    
Set 	160:		4005 D  4003    
Set 	161:		4005 D  0    
Set 	162:		4005 D  4003    
Set 	163:		4005 D  4003    
Set 	164:		4003    4005 D  
Set 	165:		4005 D  4003    
Set 	166:		4005 D  4003    
Set 	167:		4005 D  0    
Set 	168:		4005 D  0    
Set 	169:		4005 D  0    
Set 	170:		4005 D  0    
Set 	171:		4005 D  0    
Set 	172:		4005 D  4003 D  
Set 	173:		4000    4005 D  
Set 	174:		4005 D  0    
Set 	175:		4005 D  0    
Set 	176:		4005 D  0    
Set 	177:		4005 D  0    
Set 	178:		4005 D  0    
Set 	179:		4005 D  0    
Set 	180:		4003 D  4005 D  
Set 	181:		4003 D  4005 D  
Set 	182:		4003 D  4005 D  
Set 	183:		4003 D  4005 D  
Set 	184:		4003 D  4005 D  
Set 	185:		4003 D  4005 D  
Set 	186:		4003 D  4005 D  
Set 	187:		4003 D  4005 D  
Set 	188:		4003 D  4005 D  
Set 	189:		4003 D  4005 D  
Set 	190:		4003 D  4005 D  
Set 	191:		4003 D  4005 D  
Set 	192:		4003 D  4005 D  
Set 	193:		4003 D  4005 D  
Set 	194:		4003 D  4005 D  
Set 	195:		4005 D  0    
Set 	196:		4005 D  0    
Set 	197:		4005 D  0    
Set 	198:		4005 D  0    
Set 	199:		4005 D  0    
Set 	200:		4005 D  0    
Set 	201:		4005 D  0    
Set 	202:		4005 D  0    
Set 	203:		4005 D  0    
Set 	204:		4005 D  0    
Set 	205:		4005 D  0    
Set 	206:		4005 D  0    
Set 	207:		4005 D  0    
Set 	208:		4005 D  0    
Set 	209:		4005 D  0    
Set 	210:		4005 D  0    
Set 	211:		4005 D  0    
Set 	212:		4005 D  0    
Set 	213:		4005 D  0    
Set 	214:		4005 D  0    
Set 	215:		4002 D  4005 D  
Set 	216:		4005 D  0    
Set 	217:		4005 D  0    
Set 	218:		4005 D  0    
Set 	219:		4003 D  4005 D  
Set 	220:		4003 D  4005 D  
Set 	221:		4005 D  4003 D  
Set 	222:		4005 D  4003 D  
Set 	223:		4003 D  4005 D  
Set 	224:		4002    4005 D  
Set 	225:		4002    4005 D  
Set 	226:		4005 D  0    
Set 	227:		4005 D  0    
Set 	228:		4005 D  0    
Set 	229:		4005 D  0    
Set 	230:		0    0    
Set 	231:		0    0    
Set 	232:		4005 D  0    
Set 	233:		4005 D  0    
Set 	234:		4002    4005 D  
Set 	235:		4005 D  0    
Set 	236:		4005 D  0    
Set 	237:		4005 D  0    
Set 	238:		4005 D  0    
Set 	239:		4235    4005 D  
Set 	240:		4235    4005 D  
Set 	241:		4235    4005 D  
Set 	242:		4235    0    
Set 	243:		0    0    
Set 	244:		4003 D  0    
Set 	245:		4003 D  0    
Set 	246:		0    0    
Set 	247:		0    0    
Set 	248:		0    0    
Set 	249:		0    0    
Set 	250:		4003 D  0    
Set 	251:		4003 D  0    
Set 	252:		4000    4003 D  
Set 	253:		4000    4003 D  
Set 	254:		4003 D  0    
Set 	255:		0    0    
Set 	256:		0    0    
Set 	257:		0    0    
Set 	258:		0    0    
Set 	259:		0    0    
Set 	260:		0    0    
Set 	261:		0    0    
Set 	262:		4003 D  0    
Set 	263:		4000    0    
Set 	264:		4000    0    
Set 	265:		4000    0    
Set 	266:		4000    0    
Set 	267:		4000    4003 D  
Set 	268:		0    0    
Set 	269:		0    0    
Set 	270:		0    0    
Set 	271:		0    0    
Set 	272:		0    0    
Set 	273:		0    0    
Set 	274:		0    0    
Set 	275:		4003 D  0    
Set 	276:		4003 D  0    
Set 	277:		0    0    
Set 	278:		0    0    
Set 	279:		0    0    
Set 	280:		4003 D  0    
Set 	281:		4003 D  0    
Set 	282:		4003 D  0    
Set 	283:		4003 D  0    
Set 	284:		4000 D  0    
Set 	285:		4003 D  0    
Set 	286:		0    0    
Set 	287:		0    0    
Set 	288:		4003 D  0    
Set 	289:		0    0    
Set 	290:		4003 D  0    
Set 	291:		4000    0    
Set 	292:		4000    4003 D  
Set 	293:		4000    4003 D  
Set 	294:		4003 D  0    
Set 	295:		0    0    
Set 	296:		4003 D  0    
Set 	297:		4003 D  0    
Set 	298:		0    0    
Set 	299:		0    0    
Set 	300:		0    0    
